Num Threads, Size, Seconds
1, 1000, 0.015692 
1, 2000, 0.046536 
1, 3000, 0.105442 
1, 4000, 0.188359 
1, 5000, 0.289934 
1, 6000, 0.417095 
1, 7000, 0.566770 
1, 8000, 0.738638 
1, 9000, 0.935310 
1, 10000, 1.167630 
1, 11000, 1.402248 
1, 12000, 1.671128 
1, 13000, 1.950855 
1, 14000, 2.258301 
1, 15000, 2.589299 
1, 20000, 4.598722 
1, 25000, 7.161114 
1, 30000, 10.281446 
1, 35000, 14.021379 
1, 40000, 18.276251 
1, 45000, 23.058052 
1, 50000, 28.512756 
1, 55000, 34.398914 
1, 60000, 40.900322 
1, 65000, 47.948948 
1, 70000, 55.586163 
1, 75000, 63.804592 
1, 80000, 72.525833 
1, 85000, 81.866562 
1, 90000, 91.780525 
1, 95000, 118.009300 
1, 100000, 142.224991 
