Num_threads, size, secs, AVG_already_solved, SD_already_solved, AVG_iterations, SD_iterations, thread_assigment_method
  1,      30000, 109.58803,         0.0000,         0.0000, 1668596358.0000,         0.0000, 1
  1,      30000, 108.71933,         0.0000,         0.0000, 1671181377.0000,         0.0000, 1
  1,      30000, 108.73370,         0.0000,         0.0000, 1669858095.0000,         0.0000, 1
  1,      30000, 108.62278,         0.0000,         0.0000, 1670923947.0000,         0.0000, 1
  1,      30000, 108.46458,         0.0000,         0.0000, 1669668949.0000,         0.0000, 1
  2,      30000, 114.17931, 164795549.0000,   5687664.3062, 1628735855.0000,    217234.5169, 1
  2,      30000, 114.59780, 165378640.5000,  12214249.2899, 1632113184.0000,   2086700.3956, 1
  2,      30000, 114.74408, 163855186.5000,   4951976.9760, 1632995361.5000,    201745.3428, 1
  2,      30000, 115.12724, 161273774.5000,   7340289.5264, 1638265623.5000,    309501.3452, 1
  2,      30000, 114.70744, 163440399.0000,   5443787.4200, 1632726898.5000,    100554.1198, 1
  3,      30000, 122.36921, 186817424.3333,  15275251.6524, 1612881753.3333,    707436.3861, 1
  3,      30000, 122.26173, 188062879.3333,  14802519.1718, 1611028130.0000,    539441.0308, 1
  3,      30000, 111.65955, 401435018.6667, 328155521.6809, 1417208708.3333, 212685509.4837, 1
  3,      30000, 122.32619, 186600116.0000,  15713509.8383, 1610179844.6667,    989753.9903, 1
  3,      30000, 122.19009, 187538978.3333,  15033069.3720, 1611343886.0000,    588638.4204, 1
  4,      30000, 89.66716, 149590177.7500,  22649755.9425, 1132666408.5000,  19437713.0136, 1
  4,      30000, 83.52736, 124536054.7500,  17542371.1691, 1066861680.5000,  20643312.7865, 1
  4,      30000, 94.11520, 145715851.2500,  15115644.4272, 1183822907.7500,  13260595.3717, 1
  4,      30000, 105.22547, 164810895.2500,  15687305.5976, 1302111769.7500,   5030957.9620, 1
  4,      30000, 102.69943, 171366424.5000,  18998290.2587, 1282678659.5000,   4071703.8315, 1
  5,      30000, 127.99624, 327090017.4000,  45697971.2850, 1479257206.4000,  44452210.6678, 1
  5,      30000, 127.40154, 326876982.6000,  74524108.9558, 1473177975.8000,  67029182.0806, 1
  5,      30000, 128.55737, 324232064.6000,  16308646.3096, 1481578941.8000,  14654068.1855, 1
  5,      30000, 128.48154, 328766964.0000,  50636094.9598, 1484549572.2000,  51710131.6468, 1
  5,      30000, 127.94339, 326669312.6000,  69262024.1359, 1476403146.4000,  66593814.6781, 1
  6,      30000, 123.13231, 414408745.5000,  66398389.9793, 1390392678.1667,  57783394.4466, 1
  6,      30000, 123.76910, 415250912.6667,  70504963.1591, 1399747069.5000,  59310157.2673, 1
  6,      30000, 123.46959, 414437417.1667,  32217907.1960, 1394906775.6667,  27082465.8702, 1
  6,      30000, 124.26683, 416562482.3333,  26092763.7687, 1402120463.0000,  22256067.5147, 1
  6,      30000, 123.54836, 416186028.6667,  23150760.9428, 1396280140.3333,  20814258.9580, 1
  7,      30000, 82.51790, 233754591.0000,  47514477.6087, 871226248.2857,  31633007.2436, 1
  7,      30000, 81.51214, 206300358.2857,  26050531.2837, 841575298.0000,  34568294.0076, 1
  7,      30000, 80.29962, 223073255.1429,  26220172.2783, 844203839.4286,  18275497.4215, 1
  7,      30000, 78.72125, 212314370.5714,  20221945.4238, 822061714.8571,  30146010.6420, 1
  7,      30000, 81.91003, 239805430.1429,  10786243.7981, 868373448.2857,  11005822.5420, 1
  8,      30000, 120.20916,  75413899.8750,   6718631.7127, 957640681.1250,  15529068.3142, 1
  8,      30000, 112.12585,  65142359.1250,   6040244.6134, 891462309.0000,  11170097.1777, 1
  8,      30000, 123.05077,  72206646.8750,   4025239.4892, 964501648.6250,   9038258.6811, 1
  8,      30000, 118.87643,  70159124.5000,   7388530.2684, 937048915.0000,  18637710.0564, 1
  8,      30000, 123.04356,  69060097.7500,   4694728.8521, 961972120.7500,  11574716.2951, 1
  9,      30000, 111.76685,  58015384.7778,   3818313.9553, 785719072.8889,  34524309.8198, 1
  9,      30000, 128.75604,  69400077.5556,   1736367.1169, 896625526.4444,  20277386.1033, 1
  9,      30000, 118.60255,  65325605.3333,   3939535.8307, 829194688.6667,  37343058.4847, 1
  9,      30000, 112.07555,  61252194.5556,   5718434.8210, 790879010.3333,  14600375.2362, 1
  9,      30000, 118.79166,  69313034.8889,   3350973.6643, 845425735.5556,  24057299.8198, 1
 10,      30000, 202.73611, 118331367.3000,    910606.9851, 1237117563.0000,  10332386.7011, 1
 10,      30000, 203.32953, 116607589.0000,   1023865.3089, 1243739504.1000,  10793909.3182, 1
 10,      30000, 202.35410, 120898729.5000,   1297165.2266, 1248173859.9000,   8666677.0552, 1
 10,      30000, 201.67616, 120507726.0000,   1125947.8139, 1239601859.7000,  13449711.0712, 1
 10,      30000, 202.86887, 118842970.4000,   1360388.8892, 1239041431.3000,   5293388.0540, 1
 11,      30000, 113.21822,  54838706.5455,   2686084.6605, 655927865.5455,   7082614.4507, 1
 11,      30000, 107.22434,  52448702.6364,   3610360.6929, 624726736.8182,  12549661.5214, 1
 11,      30000, 112.64825,  54912377.9091,   1775021.6375, 654633155.5455,   8578238.3400, 1
 11,      30000, 113.36870,  57698704.7273,   5566406.1855, 658031736.2727,  16583740.8519, 1
 11,      30000, 111.95958,  57077614.8182,   4528398.9414, 651361154.1818,  16758381.9893, 1
 12,      30000, 155.08058,  77673920.1667,   2604571.3970, 809868887.0000,   6283320.0556, 1
 12,      30000, 138.53470,  64816538.0833,   3195541.5275, 726897468.4167,   9136664.7766, 1
 12,      30000, 121.58665,  57731847.1667,   5815261.0189, 651309681.8333,   7937879.2838, 1
 12,      30000, 151.98306,  80657893.5833,   7202067.1421, 806614929.5000,   6684542.7728, 1
 12,      30000, 156.68614,  76838195.3333,   3661079.9072, 815538397.0000,   8012302.1812, 1
 13,      30000, 114.21517,  49376103.1538,   1443812.2078, 561582438.9231,   7461044.4339, 1
 13,      30000, 105.78500,  47297367.7692,   4274933.9003, 526582919.9231,  16770986.3242, 1
 13,      30000, 111.26405,  49627842.5385,   3233561.3808, 548921202.5385,  12772483.2130, 1
 13,      30000, 113.29411,  51825931.0000,   5184193.9128, 559285251.0769,  13560411.8676, 1
 13,      30000, 113.53278,  50432979.3846,   2090908.8885, 560353115.1538,   9100577.9373, 1
 14,      30000, 114.30669,  49226667.5714,   2257424.6157, 525604394.9286,  11189112.4004, 1
 14,      30000, 104.23831,  45324128.7143,   2627838.5318, 487938091.8571,   9573122.1097, 1
 14,      30000, 110.51409,  47431620.9286,   2231674.6314, 508792468.5000,   5405870.3549, 1
 14,      30000, 109.54492,  46616334.5000,   2439314.2438, 505634548.0000,   8469915.0585, 1
 14,      30000, 113.18217,  49849471.5000,   1849542.9767, 522113985.1429,   7006131.0159, 1
 15,      30000, 202.51698,  94584325.8667,    713192.6469, 839577790.0667,   5102484.3627, 1
 15,      30000, 202.94304,  92816662.7333,    674077.9643, 839923788.2000,   4426943.1123, 1
 15,      30000, 202.18712,  94696008.2667,    653316.2698, 838408059.0000,   6411976.5781, 1
 15,      30000, 203.25908,  94559476.4000,    410341.8538, 842760296.6667,   6419946.3359, 1
 15,      30000, 202.46150,  94569009.8667,    846764.5328, 839178199.8667,   3659322.6077, 1
 16,      30000, 122.31926,  51776543.0625,   2205794.5004, 493764538.3750,   4649329.2778, 1
 16,      30000, 115.65334,  46969037.2500,   1800182.9269, 465586589.5000,   6064267.7366, 1
 16,      30000, 121.57534,  51304101.1875,   2497907.2458, 484439939.7500,   4018309.5154, 1
 16,      30000, 119.51765,  52914757.6875,   1400373.3684, 476578603.5000,   8565881.8849, 1
 16,      30000, 114.70470,  48924365.6250,   1847188.3115, 462794687.6250,   6987057.6243, 1
